id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,binary_label,multiclass_label
3wRrONmn11MpyopetFPu7U,0.625,0.468,2,-10.092,1,0.0309,0.295,0.139,0.223,0.307,93.995,214468,4,-1,1
0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4,-1,1
0xr1ClstZU2O83L5lD0DTW,0.67,0.455,1,-7.351,1,0.115,0.195,4.45e-05,0.123,0.494,180.103,149333,4,-1,1
1TQXIltqoZ5XXyfCbAeSQQ,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,197732,4,-1,1
0CF1RH8dQKuK2lQPSQw2lZ,0.666,0.628,8,-5.613,1,0.0623,0.144,0,0.189,0.767,82.992,186468,4,-1,1
32xXmaco6cjNltHgPDlpkw,0.706,0.44,2,-9.11,1,0.0667,0.714,0,0.129,0.733,76.528,155294,4,-1,1
0d5b8RcitKHrCCMFYroUTt,0.605,0.432,8,-13.842,0,0.291,0.609,0.0036,0.133,0.158,90.533,95598,4,-1,1
1vVbUmAQNhiN5TuE34QY7G,0.503,0.302,2,-12.838,1,0.0383,0.841,0.233,0.102,0.0396,152.047,240099,4,-1,1
2QEEbxY9K12LzOCGL4tJwE,0.77,0.56,11,-6.309,0,0.0332,0.0454,5.9e-05,0.336,0.502,110.038,174740,4,-1,1
1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,-1,1
3BlQVRWBmocs9doXlb7xmw,0.616,0.29,2,-14.345,1,0.0376,0.669,0.112,0.113,0.261,140.093,159429,4,-1,1
237dlPXLNIsatIRYKRbCWN,0.749,0.383,4,-13.404,0,0.152,0.294,6.63e-05,0.115,0.334,125.384,198661,4,-1,1
5PqreNOgHtz0JusSoeitaF,0.647,0.341,0,-8.51,1,0.0382,0.752,0,0.102,0.337,79.072,175243,4,-1,1
7hwYqTx1Nv0NCoja3QF1p8,0.381,0.3,8,-11.106,0,0.0944,0.612,0,0.113,0.294,83.047,172746,1,-1,1
4ZPDzPtxswItAtDlQdPZdm,0.767,0.343,0,-6.732,0,0.0539,0.623,0.00011,0.146,0.207,114.067,101053,4,-1,1
2zPcVDSpYNVKQ5c7jR7MXj,0.691,0.306,9,-15.651,1,0.0544,0.632,0.479,0.108,0.62,129.929,151693,4,-1,1
6qz2Pj4XLvMVP3frF9FF4G,0.559,0.802,9,-7.209,0,0.0564,0.0129,3.61e-05,0.126,0.688,165.003,181818,4,-1,1
1fgC2MHbJnPgvDfdTpC62c,0.487,0.384,5,-10.594,1,0.0587,0.24,0,0.124,0.224,78.138,139355,4,-1,1
1AAQejvxF7QiXbXfmCCdnJ,0.856,0.323,2,-7.634,1,0.0745,0.131,0.000122,0.0876,0.0731,132.937,205714,4,-1,1
5xROgo35i9a9IbQgN56Clz,0.565,0.548,5,-8.376,1,0.18,0.4,0,0.252,0.159,104.892,192000,4,-1,1
5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,212607,4,-1,1
1YfSzLDJohbJvo7ktcRaAh,0.665,0.0274,7,-19.451,1,0.0754,0.963,0,0.11,0.17,79.168,218868,4,-1,1
5Du0hZZYVv1qscJpi31gtL,0.506,0.559,6,-7.738,1,0.0416,0.513,0,0.0804,0.384,119.949,162142,4,-1,1
6kBB1IFuZTLXPWP94xSkr0,0.669,0.395,0,-7.039,0,0.041,0.148,0.00332,0.0987,0.301,134.927,152000,4,-1,1
3El2kpfCqwha6TSxU20GnY,0.599,0.707,0,-4.12,1,0.0843,0.5,0,0.176,0.227,102.074,185000,4,-1,1
6U1BDfEL6kjtpVqHA8Hc5l,0.466,0.521,2,-7.539,0,0.0414,0.5,0.000275,0.111,0.208,144.134,227999,4,-1,1
4g2WiijzSKzH8PApKDbadN,0.415,0.104,0,-11.83,1,0.0426,0.955,3.79e-06,0.104,0.18,82.006,256300,3,-1,1
